"","station","day_week","entries"
"1","103 ST","Friday",36681.5
"2","103 ST","Monday",31282.5
"3","103 ST","Saturday",21329.25
"4","103 ST","Sunday",18608.75
"5","103 ST","Thursday",36856.75
"6","103 ST","Tuesday",36437.75
"7","103 ST","Wednesday",37242
"8","103 ST-CORONA","Friday",20769.5
"9","103 ST-CORONA","Monday",18674.25
"10","103 ST-CORONA","Saturday",15332.25
"11","103 ST-CORONA","Sunday",12731
"12","103 ST-CORONA","Thursday",20651.75
"13","103 ST-CORONA","Tuesday",20531
"14","103 ST-CORONA","Wednesday",20606.75
"15","104 ST","Friday",2730
"16","104 ST","Monday",2388.5
"17","104 ST","Saturday",1521.5
"18","104 ST","Sunday",1216.75
"19","104 ST","Thursday",2779.25
"20","104 ST","Tuesday",2798
"21","104 ST","Wednesday",2778.25
"22","110 ST","Friday",13324.5
"23","110 ST","Monday",11332.75
"24","110 ST","Saturday",8088
"25","110 ST","Sunday",6883.5
"26","110 ST","Thursday",13306.5
"27","110 ST","Tuesday",13097
"28","110 ST","Wednesday",13293.5
"29","110 ST-CATHEDRL","Friday",14999.25
"30","110 ST-CATHEDRL","Monday",12311.5
"31","110 ST-CATHEDRL","Saturday",8057.75
"32","110 ST-CATHEDRL","Sunday",7411.5
"33","110 ST-CATHEDRL","Thursday",14754.25
"34","110 ST-CATHEDRL","Tuesday",14740.25
"35","110 ST-CATHEDRL","Wednesday",15391.5
"36","110 ST-CPN","Friday",10072.5
"37","110 ST-CPN","Monday",8909
"38","110 ST-CPN","Saturday",6613.5
"39","110 ST-CPN","Sunday",6239.5
"40","110 ST-CPN","Thursday",10092.5
"41","110 ST-CPN","Tuesday",10061.5
"42","110 ST-CPN","Wednesday",10235
"43","111 ST","Friday",14380.25
"44","111 ST","Monday",13160.5
"45","111 ST","Saturday",10225.75
"46","111 ST","Sunday",8906.5
"47","111 ST","Thursday",14345.25
"48","111 ST","Tuesday",14328
"49","111 ST","Wednesday",14416.75
"50","116 ST","Friday",37833.75
"51","116 ST","Monday",32372.5
"52","116 ST","Saturday",24912.5
"53","116 ST","Sunday",22647.25
