"","station","date","hour","day_week","entries"
"1","CYPRESS HILLS","05-01-11",0,"Sunday",0
"2","CYPRESS HILLS","05-01-11",4,"Sunday",0
"3","CYPRESS HILLS","05-01-11",12,"Sunday",0
"4","CYPRESS HILLS","05-01-11",16,"Sunday",0
"5","CYPRESS HILLS","05-01-11",20,"Sunday",0
"6","CYPRESS HILLS","05-02-11",0,"Monday",15
"7","CYPRESS HILLS","05-02-11",4,"Monday",19
"8","CYPRESS HILLS","05-02-11",8,"Monday",488
"9","CYPRESS HILLS","05-02-11",12,"Monday",490
"10","CYPRESS HILLS","05-02-11",16,"Monday",231
"11","CYPRESS HILLS","05-02-11",20,"Monday",235
"12","CYPRESS HILLS","05-03-11",0,"Tuesday",74
"13","CYPRESS HILLS","05-03-11",4,"Tuesday",20
"14","CYPRESS HILLS","05-03-11",12,"Tuesday",975
"15","CYPRESS HILLS","05-03-11",16,"Tuesday",267
"16","CYPRESS HILLS","05-03-11",20,"Tuesday",277
"17","CYPRESS HILLS","05-04-11",0,"Wednesday",83
"18","CYPRESS HILLS","05-04-11",4,"Wednesday",24
"19","CYPRESS HILLS","05-04-11",8,"Wednesday",532
"20","CYPRESS HILLS","05-04-11",12,"Wednesday",454
"21","CYPRESS HILLS","05-04-11",16,"Wednesday",247
"22","CYPRESS HILLS","05-04-11",20,"Wednesday",220
"23","CYPRESS HILLS","05-05-11",0,"Thursday",59
"24","CYPRESS HILLS","05-05-11",4,"Thursday",19
"25","CYPRESS HILLS","05-05-11",12,"Thursday",995
"26","CYPRESS HILLS","05-05-11",16,"Thursday",307
"27","CYPRESS HILLS","05-05-11",20,"Thursday",228
"28","CYPRESS HILLS","05-06-11",0,"Friday",73
"29","CYPRESS HILLS","05-06-11",4,"Friday",22
"30","CYPRESS HILLS","05-06-11",12,"Friday",970
"31","CYPRESS HILLS","05-06-11",16,"Friday",286
"32","CYPRESS HILLS","05-06-11",20,"Friday",225
"33","CYPRESS HILLS","05-07-11",0,"Saturday",82
"34","CYPRESS HILLS","05-07-11",4,"Saturday",12
"35","CYPRESS HILLS","05-07-11",12,"Saturday",0
"36","CYPRESS HILLS","05-07-11",16,"Saturday",0
"37","CYPRESS HILLS","05-07-11",20,"Saturday",1
"38","CYPRESS HILLS","05-08-11",0,"Sunday",2
"39","CYPRESS HILLS","05-08-11",4,"Sunday",0
"40","CYPRESS HILLS","05-08-11",8,"Sunday",0
"41","CYPRESS HILLS","05-08-11",12,"Sunday",0
"42","CYPRESS HILLS","05-08-11",16,"Sunday",0
"43","CYPRESS HILLS","05-08-11",20,"Sunday",0
"44","CYPRESS HILLS","05-09-11",0,"Monday",0
"45","CYPRESS HILLS","05-09-11",4,"Monday",9
"46","CYPRESS HILLS","05-09-11",8,"Monday",495
"47","CYPRESS HILLS","05-09-11",12,"Monday",443
"48","CYPRESS HILLS","05-09-11",16,"Monday",283
"49","CYPRESS HILLS","05-09-11",20,"Monday",208
"50","CYPRESS HILLS","05-10-11",0,"Tuesday",63
"51","CYPRESS HILLS","05-10-11",4,"Tuesday",25
"52","CYPRESS HILLS","05-10-11",12,"Tuesday",985
"53","CYPRESS HILLS","05-10-11",16,"Tuesday",156
"54","CYPRESS HILLS","05-10-11",20,"Tuesday",113
"55","CYPRESS HILLS","05-11-11",0,"Wednesday",43
"56","CYPRESS HILLS","05-11-11",4,"Wednesday",332
"57","CYPRESS HILLS","05-11-11",8,"Wednesday",130
"58","CYPRESS HILLS","05-11-11",12,"Wednesday",865
"59","CYPRESS HILLS","05-11-11",16,"Wednesday",276
"60","CYPRESS HILLS","05-11-11",20,"Wednesday",235
"61","CYPRESS HILLS","05-12-11",0,"Thursday",70
"62","CYPRESS HILLS","05-12-11",4,"Thursday",27
"63","CYPRESS HILLS","05-12-11",8,"Thursday",231
"64","CYPRESS HILLS","05-12-11",12,"Thursday",704
"65","CYPRESS HILLS","05-12-11",16,"Thursday",287
"66","CYPRESS HILLS","05-12-11",20,"Thursday",240
"67","CYPRESS HILLS","05-13-11",0,"Friday",68
"68","CYPRESS HILLS","05-13-11",4,"Friday",13
"69","CYPRESS HILLS","05-13-11",8,"Friday",249
"70","CYPRESS HILLS","05-13-11",12,"Friday",673
"71","CYPRESS HILLS","05-13-11",16,"Friday",212
"72","CYPRESS HILLS","05-13-11",20,"Friday",309
"73","CYPRESS HILLS","05-14-11",0,"Saturday",103
"74","CYPRESS HILLS","05-14-11",4,"Saturday",20
"75","CYPRESS HILLS","05-14-11",12,"Saturday",308
"76","CYPRESS HILLS","05-14-11",16,"Saturday",211
"77","CYPRESS HILLS","05-14-11",20,"Saturday",129
"78","CYPRESS HILLS","05-15-11",0,"Sunday",66
"79","CYPRESS HILLS","05-15-11",4,"Sunday",27
"80","CYPRESS HILLS","05-15-11",12,"Sunday",214
"81","CYPRESS HILLS","05-15-11",16,"Sunday",173
"82","CYPRESS HILLS","05-15-11",20,"Sunday",110
"83","CYPRESS HILLS","05-16-11",0,"Monday",57
"84","CYPRESS HILLS","05-16-11",4,"Monday",15
"85","CYPRESS HILLS","05-16-11",8,"Monday",217
"86","CYPRESS HILLS","05-16-11",12,"Monday",686
"87","CYPRESS HILLS","05-16-11",16,"Monday",248
"88","CYPRESS HILLS","05-16-11",20,"Monday",216
"89","CYPRESS HILLS","05-17-11",0,"Tuesday",64
"90","CYPRESS HILLS","05-17-11",4,"Tuesday",23
"91","CYPRESS HILLS","05-17-11",8,"Tuesday",249
"92","CYPRESS HILLS","05-17-11",12,"Tuesday",678
"93","CYPRESS HILLS","05-17-11",16,"Tuesday",268
"94","CYPRESS HILLS","05-17-11",20,"Tuesday",194
"95","CYPRESS HILLS","05-18-11",0,"Wednesday",77
"96","CYPRESS HILLS","05-18-11",4,"Wednesday",15
"97","CYPRESS HILLS","05-18-11",12,"Wednesday",250
"98","CYPRESS HILLS","05-18-11",16,"Wednesday",699
"99","CYPRESS HILLS","05-18-11",20,"Wednesday",167
"100","CYPRESS HILLS","05-19-11",0,"Thursday",362
"101","CYPRESS HILLS","05-19-11",4,"Thursday",15
"102","CYPRESS HILLS","05-19-11",12,"Thursday",963
"103","CYPRESS HILLS","05-19-11",16,"Thursday",256
"104","CYPRESS HILLS","05-19-11",20,"Thursday",243
"105","CYPRESS HILLS","05-20-11",0,"Friday",69
"106","CYPRESS HILLS","05-20-11",4,"Friday",20
"107","CYPRESS HILLS","05-20-11",8,"Friday",233
"108","CYPRESS HILLS","05-20-11",12,"Friday",206
"109","CYPRESS HILLS","05-20-11",16,"Friday",778
"110","CYPRESS HILLS","05-20-11",20,"Friday",256
"111","CYPRESS HILLS","05-21-11",0,"Saturday",70
"112","CYPRESS HILLS","05-21-11",4,"Saturday",18
"113","CYPRESS HILLS","05-21-11",12,"Saturday",385
"114","CYPRESS HILLS","05-21-11",16,"Saturday",206
"115","CYPRESS HILLS","05-21-11",20,"Saturday",135
"116","CYPRESS HILLS","05-22-11",0,"Sunday",86
"117","CYPRESS HILLS","05-22-11",4,"Sunday",25
"118","CYPRESS HILLS","05-22-11",12,"Sunday",242
"119","CYPRESS HILLS","05-22-11",16,"Sunday",167
"120","CYPRESS HILLS","05-22-11",20,"Sunday",87
"121","CYPRESS HILLS","05-23-11",0,"Monday",45
"122","CYPRESS HILLS","05-23-11",4,"Monday",15
"123","CYPRESS HILLS","05-23-11",8,"Monday",238
"124","CYPRESS HILLS","05-23-11",12,"Monday",681
"125","CYPRESS HILLS","05-23-11",16,"Monday",246
"126","CYPRESS HILLS","05-23-11",20,"Monday",197
"127","CYPRESS HILLS","05-24-11",0,"Tuesday",68
"128","CYPRESS HILLS","05-24-11",4,"Tuesday",21
"129","CYPRESS HILLS","05-24-11",8,"Tuesday",487
"130","CYPRESS HILLS","05-24-11",12,"Tuesday",477
"131","CYPRESS HILLS","05-24-11",16,"Tuesday",276
"132","CYPRESS HILLS","05-24-11",20,"Tuesday",225
"133","CYPRESS HILLS","05-25-11",0,"Wednesday",96
"134","CYPRESS HILLS","05-25-11",4,"Wednesday",20
"135","CYPRESS HILLS","05-25-11",12,"Wednesday",944
"136","CYPRESS HILLS","05-26-11",0,"Thursday",470
"137","CYPRESS HILLS","05-26-11",4,"Thursday",16
"138","CYPRESS HILLS","05-26-11",8,"Thursday",614
"139","CYPRESS HILLS","05-26-11",12,"Thursday",433
"140","CYPRESS HILLS","05-26-11",16,"Thursday",278
"141","CYPRESS HILLS","05-26-11",20,"Thursday",226
"142","CYPRESS HILLS","05-27-11",0,"Friday",92
"143","CYPRESS HILLS","05-27-11",4,"Friday",15
"144","CYPRESS HILLS","05-27-11",12,"Friday",899
"145","CYPRESS HILLS","05-27-11",16,"Friday",261
"146","CYPRESS HILLS","05-27-11",20,"Friday",227
"147","CYPRESS HILLS","05-28-11",0,"Saturday",93
"148","CYPRESS HILLS","05-28-11",4,"Saturday",16
"149","CYPRESS HILLS","05-28-11",12,"Saturday",347
"150","CYPRESS HILLS","05-28-11",16,"Saturday",228
"151","CYPRESS HILLS","05-28-11",20,"Saturday",146
"152","CYPRESS HILLS","05-29-11",0,"Sunday",86
"153","CYPRESS HILLS","05-29-11",4,"Sunday",48
"154","CYPRESS HILLS","05-29-11",12,"Sunday",263
"155","CYPRESS HILLS","05-29-11",16,"Sunday",190
"156","CYPRESS HILLS","05-29-11",20,"Sunday",120
"157","CYPRESS HILLS","05-30-11",0,"Monday",89
"158","CYPRESS HILLS","05-30-11",4,"Monday",25
"159","CYPRESS HILLS","05-30-11",8,"Monday",74
"160","CYPRESS HILLS","05-30-11",12,"Monday",261
"161","CYPRESS HILLS","05-30-11",16,"Monday",257
"162","CYPRESS HILLS","05-30-11",20,"Monday",146
"163","CYPRESS HILLS","05-31-11",0,"Tuesday",89
"164","CYPRESS HILLS","05-31-11",4,"Tuesday",26
"165","CYPRESS HILLS","05-31-11",8,"Tuesday",241
"166","CYPRESS HILLS","05-31-11",12,"Tuesday",680
"167","CYPRESS HILLS","05-31-11",16,"Tuesday",295
"168","CYPRESS HILLS","05-31-11",20,"Tuesday",203
"169","ELDERTS LANE","05-01-11",0,"Sunday",0
